full_text,cleansing,Tokenization and Case Folding,Filtering / Stopword removal,stemming_data
Hisoka,Hisoka,['hisoka'],['hisoka'],hisoka
Cara nurunin panas gimana sih woy ini udah 9 hari ga turun-turun,Cara nurunin panas gimana sih woy ini udah  hari ga turunturun,"['cara', 'nurunin', 'panas', 'gimana', 'sih', 'woy', 'ini', 'udah', 'hari', 'ga', 'turunturun']","['nurunin', 'panas', 'gimana', 'sih', 'woy', 'udah', 'ga', 'turunturun']",nurunin panas gimana sih woy udah ga turunturun
@urfavabegail panas gini,urfavabegail panas gini,"['urfavabegail', 'panas', 'gini']","['urfavabegail', 'panas', 'gini']",urfavabegail panas gin
@SenahDebab Tengah pukau,SenahDebab Tengah pukau,"['senahdebab', 'tengah', 'pukau']","['senahdebab', 'pukau']",senahdebab pukau
"Apakah kamu tidak tahu ada teknologi yang namanya payung atau topi??  Drpd JPO diatapin, mendingan bus stop yg diatepin.  Kejemur kalau panas, tapi kalau diatepin juga jadi sempit banget. Trotoar kita aja sempit2. 😔😔",Apakah kamu tidak tahu ada teknologi yang namanya payung atau topi  Drpd JPO diatapin mendingan bus stop yg diatepin  Kejemur kalau panas tapi kalau diatepin juga jadi sempit banget Trotoar kita aja sempit ,"['apakah', 'kamu', 'tidak', 'tahu', 'ada', 'teknologi', 'yang', 'namanya', 'payung', 'atau', 'topi', 'drpd', 'jpo', 'diatapin', 'mendingan', 'bus', 'stop', 'yg', 'diatepin', 'kejemur', 'kalau', 'panas', 'tapi', 'kalau', 'diatepin', 'juga', 'jadi', 'sempit', 'banget', 'trotoar', 'kita', 'aja', 'sempit']","['teknologi', 'namanya', 'payung', 'topi', 'drpd', 'jpo', 'diatapin', 'mendingan', 'bus', 'stop', 'yg', 'diatepin', 'kejemur', 'panas', 'diatepin', 'sempit', 'banget', 'trotoar', 'aja', 'sempit']",teknologi nama payung topi drpd jpo diatapin mending bus stop yg diatepin jemur panas diatepin sempit banget trotoar aja sempit
@RasyidiRasyid @501Awani Betul. Sebab tu bank babi.,RasyidiRasyid Awani Betul Sebab tu bank babi,"['rasyidirasyid', 'awani', 'betul', 'sebab', 'tu', 'bank', 'babi']","['rasyidirasyid', 'awani', 'tu', 'bank', 'babi']",rasyidirasyid awan tu bank babi
@heiapeni Literally orang jatuh pastu splat,heiapeni Literally orang jatuh pastu splat,"['heiapeni', 'literally', 'orang', 'jatuh', 'pastu', 'splat']","['heiapeni', 'literally', 'orang', 'jatuh', 'pastu', 'splat']",heiapeni literally orang jatuh pastu splat
@FOODFESS2 mungkin apinya kegedean kak jadi minyaknya jadi cepet panas,FOODFESS mungkin apinya kegedean kak jadi minyaknya jadi cepet panas,"['foodfess', 'mungkin', 'apinya', 'kegedean', 'kak', 'jadi', 'minyaknya', 'jadi', 'cepet', 'panas']","['foodfess', 'apinya', 'kegedean', 'kak', 'minyaknya', 'cepet', 'panas']",foodfess api gede kak minyak cepet panas
"@Caro_Antu_Kuyen ja ja ja ja Joder, simplemente joderlos... son panas",CaroAntuKuyen ja ja ja ja Joder simplemente joderlos son panas,"['caroantukuyen', 'ja', 'ja', 'ja', 'ja', 'joder', 'simplemente', 'joderlos', 'son', 'panas']","['caroantukuyen', 'ja', 'ja', 'ja', 'ja', 'joder', 'simplemente', 'joderlos', 'son', 'panas']",caroantukuyen ja ja ja ja joder simplemente joderlos son panas
@sukaeesteh disini panas bgt,sukaeesteh disini panas bgt,"['sukaeesteh', 'disini', 'panas', 'bgt']","['sukaeesteh', 'panas', 'bgt']",sukaeesteh panas bgt
selang seling hujan-panas di mks di??,selang seling hujanpanas di mks di,"['selang', 'seling', 'hujanpanas', 'di', 'mks', 'di']","['selang', 'seling', 'hujanpanas', 'mks']",selang seling hujanpanas mks
"Dari tadi liat orang komplain soal JPO ga pake atep nanti jadi kepanasan dan keujanan"".   Kalau ga mau kepanasan jangan jadi pejalan kaki. Di rumah aja. Udah banyak yg jelasin kenapanya tapi alesannya manja banget ""nanti kepanasan keujanan"" 🫠🫠  Indonesia dr dlu panas dan ujan.""",Dari tadi liat orang komplain soal JPO ga pake atep nanti jadi kepanasan dan keujanan   Kalau ga mau kepanasan jangan jadi pejalan kaki Di rumah aja Udah banyak yg jelasin kenapanya tapi alesannya manja banget nanti kepanasan keujanan 🫠🫠  Indonesia dr dlu panas dan ujan,"['dari', 'tadi', 'liat', 'orang', 'komplain', 'soal', 'jpo', 'ga', 'pake', 'atep', 'nanti', 'jadi', 'kepanasan', 'dan', 'keujanan', 'kalau', 'ga', 'mau', 'kepanasan', 'jangan', 'jadi', 'pejalan', 'kaki', 'di', 'rumah', 'aja', 'udah', 'banyak', 'yg', 'jelasin', 'kenapanya', 'tapi', 'alesannya', 'manja', 'banget', 'nanti', 'kepanasan', 'keujanan', '🫠🫠', 'indonesia', 'dr', 'dlu', 'panas', 'dan', 'ujan']","['liat', 'orang', 'komplain', 'jpo', 'ga', 'pake', 'atep', 'kepanasan', 'keujanan', 'ga', 'kepanasan', 'pejalan', 'kaki', 'rumah', 'aja', 'udah', 'yg', 'jelasin', 'kenapanya', 'alesannya', 'manja', 'banget', 'kepanasan', 'keujanan', '🫠🫠', 'indonesia', 'dr', 'dlu', 'panas', 'ujan']",liat orang komplain jpo ga pake atep panas keujanan ga panas pejal kaki rumah aja udah yg jelasin kenapa alesannya manja banget panas keujanan  indonesia dr dlu panas ujan
