stemming_data,Compound_Score,sentiment
hisoka,0.0,netral
nurunin panas gimana sih woy udah ga turunturun,0.0,netral
urfavabegail panas gin,0.0,netral
senahdebab pukau,0.0,netral
teknologi nama payung topi drpd jpo diatapin mending bus stop yg diatepin jemur panas diatepin sempit banget trotoar aja sempit,0.0,netral
rasyidirasyid awan tu bank babi,0.0,netral
heiapeni literally orang jatuh pastu splat,0.0,netral
foodfess api gede kak minyak cepet panas,0.0,netral
caroantukuyen ja ja ja ja joder simplemente joderlos son panas,0.0,netral
sukaeesteh panas bgt,0.0,netral
selang seling hujanpanas mks,0.0,netral
liat orang komplain jpo ga pake atep panas keujanan ga panas pejal kaki rumah aja udah yg jelasin kenapa alesannya manja banget panas keujanan  indonesia dr dlu panas ujan,0.0,netral
dennysiregar sibuk asa dr kmren  biarin aja napasih kalo uda sakit hati susah emang panas kalungin qulqas shayy wkwk ,0.0,netral
kimurahideyoshi nyebrang yg aman hujan panas fungsi jpo,0.0,netral
archmagewoman undipmenfess ak jujur ngga bikin panas ga white cast gak wangi,0.0,netral
heiapeni yes sikit je angin masuk dah tengok habis,0.4019,positif
panas yo me la paso mucho aqu metido como es posible que entienda cada referencia de este tuit,0.0,netral
kl kluang je ni ulang alik kluang terengganu elok je hujan panas lgi teruk cuaca dah tau badan kuat plan laa jalan bodoh dah kanto mc tipu nk salah org barai tu sakit ya barai kena tggu putus darah,0.0,netral
ilybujang nih panas,0.0,netral
partaimedsos udah contoh jpo tutup udah ga aesthetic bau pesing kotor sumpek males situ gue suka buka kek gin ga jam panasujan pandang kota dapet kalo ga ujan jalur,0.0,netral
onurpuy iyaa emng musim sakit kena flu dh krn cuaca nya jg lgi gjls panas bgt hujan hari hujan awet,-0.3818,negatif
berkat orang andal tuhan taruh harap tuhan pohon tanam tepi air rambat akar akar tepi batang air alami datang panas terik daun hijau httpstcosyukwshc,0.0,netral
cm real cuy panaspanasan sampe kampus sempet duduk pas buka wa bapak wa maaf ga masuk faak gw teh httpstcoxjsvmhh,0.0,netral
xxgypsophilal topik panas tahun,0.0,netral
panci kaca borosilicate aesthetic serbaguna transparan masak soup tebal tahan panas kado hadiah ml dapat shopee httpstcomkozmxer shoppingqueen shopeeid shopeeaffiliate panci shopping httpstcoodcegrgta,0.0,netral
panas bgt kuping pagi isi orang ngegas orang marah marah doang,0.0,netral
everaithings anggaputraf model tutup datar hujan angin tetep basah matahari sore tetep panas inti kurang masingmasing sih,-0.3612,negatif
depok skrg ga panas wow kena abis ujan httpstcodbcnmcu,0.5859,positif
skincarehouse  la panas smpai april ni,0.0,netral
foodfess tepung pake api minyak panas,0.0,netral
studiostk me puedo tomar unas cuantas cervezas de mantequilla con los panas,0.0,netral
ya llegamos panas y no me han suspendido de inmediato lets fucking goooooooooooooooooo httpstcobuduvctw,-0.296,negatif
dalsoev bulletofmine haritu simptom baca tft simptom moody turun berat badan dadak xboleh control suhu panassejuk shaking g medical check up ingtkan abet thyroid refer hkl,-0.4939,negatif
fayyaja pas lg panas insyaallah amann,0.0,netral
tanyarlfes pantau panas,0.0,netral
qbarbarian laacapinera dah jembatan udah solusidi modif doang mah ngejar display panas,0.0,netral
nsokfeb seru bangettt mending pagi aja shaa kalo siang takut panas,0.0,netral
akumoon siang tetep panas gatau deng kemarin full kampus,0.0,netral
ketidakpuasannya jembatan seberang orang jpo anggap fungsional nyaman turut jpo panas guna hujan milik atap pada lindung guna panas,0.0,netral
pagi ni cepat panas time ni dah nampak matahari,0.0,netral
boladitangkis yaboif herricahyadi entar disalahin bang wkwk wahh efek atap kaca nih bikin nambah panas efek atap kaca nih norak designya,0.0,netral
dearfreak yuugont crowsos a mi teo tmb me odia a veces igual somos panas,0.0,netral
unnadelana yyaaaaaa bilik i warna hitam amp langsir dark grey panas oven ye ,0.0516,positif
anthonnyswag otro odioso dijo era de haber hecho algo que no vaya lu es decir deduce lo siguiente cree omnipotente y podr a haber ganado f cilmente a sus otros compa eros menosprecia las capacidades de los otros y los quer a fuera en vez de luciana los panas,-0.296,negatif
zainuddinhashi tinggi suhu panas sgt tu,0.0,netral
poroshalangid morgangibbs nama panas mesin lupa rem httpstcooylgcertv,0.0,netral
mashirafael pero alias invisible no da la orden de loco alguien lo envio alguien financi seguro no es tu pana mashirafael lo mismo decias de norero y ronny aleaga y resulta que si han sido tus panas,-0.5267,negatif
sikebongce kczeuha xxxaryadi herricahyadi dulunya jpo adu pelecean sksual krna tutup gelap kalo malem sbgai cewe gw milih muter kalo malem emang panas kalo siang tpi aja tuh bbrpa menit rasa aman pas malam krn buka,0.0,netral
ezrahrn byilyy emang panas,0.0,netral
giovannipratama jokowi kalo protes mabes tni cook panas kalung kulkas wkwk kasi bgt hati dengki,0.0,netral
chroniclea g kena panas hujan yah kalo g bawa atap aja emang cm mikirin ken lu doang,0.0,netral
hrdbacot inonesia musim panas ujan ya kalo musim ujan berarri siap jas ujan payung ,0.0,netral
galangkhoirul ati gampang panas dandanono,0.0,netral
panas bgt ulu ati gue anjirla ,0.0,netral
bu kalo mending lambe tetangga tapuk pake bokong ceret panas habis diem,0.0,netral
tamu keluh mesin cepat panas menit nyala tingkat panase wes koyo urip jam air radiatore umep sampe mobal httpstcockdwtuthv,0.0,netral
dennysiregar panas kalung kulkas den ,0.0,netral
tengo panas que ya tienen hijos y yo no tengo ni novia,-0.296,negatif
heat diffuser plate should or shouldnt have httpstcomqtilgqxf heat diffuser plate ni lindung outer base periuk hitam tu bantu api tu panas masak httpstcomqtilgqxf myshopeecheck rayabersamashopee httpstcolqwlad,0.0,netral
nuuurani tertaqwa panas yh telinga ku,0.0,netral
dennysiregar ga panasga iri ga dengki lu den moga tidur msh nyenyak makan msh lahap ya sy ragu lu laku,0.0,netral
dios castiga a todos los q abandonan a los panas por un culo est escrito,0.0,netral
pagi pagi udh panas gerah mamaaaaaa,0.0,netral
malam tido dah panas ya kat angin kuat,0.0,netral
mis panas me voy yendo a dormir espero que os haya encantado el v deo de hoy ma ana no si habr v deo directo o ambas cosas pero ya os ir comentando un abrazote que descans is ,-0.296,negatif
makan makan panas dah set ok je nak makan pastu bayar makan nasi campur suka bayar takut lupa takut tokey tipu,0.296,positif
kitcat abis beberes tauk monn panas mandi lagiii,0.0,netral
ac rumah kalo hujan panas ya cuaca panas subhanallah dingin tulangtulang,0.0,netral
no pain no gain sin panas no hay gachas,0.3691,positif
yoschda abis beberes el panas mandi kalo ga beberes tetep mandi lgi si malemnya sore udah mandi,-0.3612,negatif
ajo marottaleague banget ya panas aja belah,0.0,netral
ponakannyaom batu bata genteng kualitas proses bakar api panas bara moga kuat jalan,0.0,netral
conozco unos panas que la mam los sacaba en foto por el peri dico al concluir el a o lectivo como viajeros a usa y los guardaba d as en la casa sin que asomen a la ventana,-0.5574,negatif
ntijamet herricahyadi lu gk singapura singapura trotoar yg atap tambah lu kgk pake jpo sih gua jg kgk sih ya atap guna panas hujan,0.0,netral
lanacionboston no entiendo c mo es que son tan est pido estos panas,-0.296,negatif
restyjcayah panas taik kao sarang pki partai yg kau dukung httpstcozpbtqwkmm,0.0,netral
luisalfredopolo ahora sin ojos diimos de panas,-0.5574,negatif
chipng domm ku panas asli,0.0,netral
reiajao la que m s me ha molado yo creo que es tenshinhan vs goku en la final del torneo muy god y luego acaban panas,0.5423,positif
tangan siram air panas,0.0,netral
hewentbananas ndrewstjan gk orang pemikiranya santai kek elu bro benci dukung sih berita panas ,0.0,netral
ukur mini  adek awas loh kena air panas  tanyarl httpstcogcczghpfs,0.0,netral
tanyakanrl panas anjingbikin ngakak guling,0.0,netral
aaannashi como panas somos los mejores ,0.0,netral
tgunwook panas,0.0,netral
foodfess minyak panas api gede,0.0,netral
lapostaecu cntec ahora dicen est n en familia les est n yendo los panas grave,-0.3818,negatif
cowo abis kamar mandi hawa langsung panas sih jelma naga mandi api,0.0,netral
itsnaaatwt panas bngt sih bulan muncul ya,0.0,netral
papah ngeledekin foto mamah mah anak kerja dapetnya cinta senyum mulu kalo telpon gapapa kalo bikin semangat hahaha ya allah pah badan panas maleman langsung adem jdnya,0.5574,positif
barubuattweeter convomf ulah hujan deuh geus panas weh angin sepoy beh rasa perjuanganna puasa,0.0,netral
gue gak korea jepang seringkali liat jpo yg gak atap dramadrama sana bgt hujan klo musim panas panas bgt kalo musim salju dingin licin,0.0,netral
aaaaahhhehrhrh air minum gw panas bgt lidah gw kebakaf,0.0,netral
aaaa jihoon s solo schedule on my birthday,0.0,netral
munozyery christianzr ahora resulta q los lobos no son panas de los borregos eso solo los borregos pendejos lo creen,-0.296,negatif
foodfess besar api nder minyak ny udah panas bangett,0.0,netral
heeseung bgt gabisa tidur kalo ga luk pegang gabisa tidur kalo lampu hidup terang bgt panas,0.0,netral
lapostaecu anderssonboscan de seguro tu si sabias todo pobre y triste mojigato si esos manes de los delincuentes son tus panas ahora te haces el dolido el q dice pobre villavicencio,0.0,netral
foireplay panas njir,0.0,netral
panas eh pagi ni,0.0,netral
chroniclea tuju trotoar gk atap panas kali jalan kaki mah salah anies,0.0,netral
que cool cuando me encuentro a mis panas y les gusta el color que tengo  amo cuyagua,0.3182,positif
convomf gw temen cewed yg gin gw ga mood nelpon alhasil gw denger dah tuh misuh vn bgt anj cape aaaaa panas kuping aaaa huhaaaaaaa pls,0.0772,positif
siang yes buzzernya mata gue panas bgt,0.4019,positif
makan gratis anak sekolah tuh liat jepang aja udh nerapin beri makan gratis anak sekolah jpo atap jepang teroooos yg liat pdahal jkt tuh panas bener g ngertiin bangsa yg bagus instagramable,0.1027,positif
pad yg pondok putri jawara yg air panas gak bikin mie,0.0,netral
yaboif herricahyadi jpo atap panas ttp panas hujan tetep licin krn sisa air hujan yg bawa alas kaki payung yg lipat tambah sesak krn yg jadiin jpo teduh solusi ya bawa payung biar nyebrang panas hujan dgn nyama,-0.2732,negatif
gue kalo motor pake masker njir panas,0.0,netral
ownedbysona thefool feralmkls lorensky no te preocupes es as normalmente somos panas asjdajs pero el es fan de lotm y yo fan de tbate akjaja asi que es comun esto,0.34,positif
alvamech denada mi amigo aqu yo y tus panas te estamos apoyando que sigas tu sue o jeje fue todo un placer ayudarte w httpstcocysmfjyk,0.0,netral
canoodleflyy enak gak panas,0.0,netral
ni apas anjrit diri dikit panas dingin anjir,0.0,netral
sbyfess bom nder wkwk,0.0,netral
monipalaciosz jcarreraandrade deja el show q son panas y tienen pacto,0.0,netral
jelajah zona tualang kolam air panas walini ciwidey sensasi hangat padu adrenalin httpstcopexpgcopr httpstcobywhgdb,0.0,netral
thermostatnya rusak awoakwok dh panas tp gabisa mutus arus,0.0,netral
starfess seeffortless udah liat kali tetep amaze orang minum obat dilumerin pake air panas,0.5423,positif
mickeystoreeid tanyakanrl aduh panas,0.0,netral
jesulinythomas ynrs not bad not bad at all,0.1232,positif
